-DOCSTART- -X- -X- O
[ -X- _ O
Current -X- _ O
] -X- _ O
[ -X- _ O
Number -X- _ O
conversion -X- _ O
] -X- _ O
[ -X- _ O
Password -X- _ O
] -X- _ O
[ -X- _ O
Forgotten -X- _ O
] -X- _ O
[ -X- _ O
How -X- _ O
to -X- _ O
do -X- _ O
? -X- _ O
] -X- _ O

A -X- _ O
maximum -X- _ O
of -X- _ O
several -X- _ O
access -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
can -X- _ O
be -X- _ O
added -X- _ O
. -X- _ O

Can -X- _ O
I -X- _ O
withdraw -X- _ O
money -X- _ O
after -X- _ O
the -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
deleted -X- _ O
? -X- _ O

Third -X- _ O
- -X- _ O
party -X- _ O
software -X- _ O
is -X- _ O
not -X- _ O
paid -X- _ O
by -X- _ O
Huawei -X- _ B-ORG
. -X- _ O

Why -X- _ O
did -X- _ O
you -X- _ O
deduct -X- _ O
my -X- _ O
money -X- _ O
? -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
change -X- _ O
the -X- _ O
password -X- _ O
of -X- _ O
a -X- _ O
cloud -X- _ B-HMS_SERVICE
account -X- _ I-HMS_SERVICE
? -X- _ O

Does -X- _ O
m6 -X- _ B-HUAWEI_DEVICE
have -X- _ O
a -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
to -X- _ O
perform -X- _ O
identity -X- _ O
authentication -X- _ B-HMS_SERVICE_FEATURE
using -X- _ O
the -X- _ O
Eid -X- _ B-CARD_TYPE
? -X- _ O

I -X- _ O
did -X- _ O
n't -X- _ O
see -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
. -X- _ O

Hello -X- _ O
, -X- _ O
why -X- _ O
ca -X- _ O
n't -X- _ O
I -X- _ O
find -X- _ O
the -X- _ O
key -X- _ O
to -X- _ O
the -X- _ O
door -X- _ O
? -X- _ O

Invoice -X- _ O
for -X- _ O
the -X- _ O
recharge -X- _ O
of -X- _ O
Wuhan -X- _ B-LOC
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE

When -X- _ O
do -X- _ O
you -X- _ O
come -X- _ O
back -X- _ O
? -X- _ O

Page -X- _ O
for -X- _ O
adding -X- _ O
a -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE

How -X- _ O
Do -X- _ O
I -X- _ O
Log -X- _ O
In -X- _ O
to -X- _ O
a -X- _ O
Huawei -X- _ B-HMS_SERVICE
ID -X- _ I-HMS_SERVICE
? -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Delete -X- _ O
an -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
? -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
cancel -X- _ O
a -X- _ O
Huawei -X- _ B-HMS_SERVICE
ID -X- _ I-HMS_SERVICE
? -X- _ O

How -X- _ O
do -X- _ O
I -X- _ O
bind -X- _ O
a -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
to -X- _ O
my -X- _ O
band -X- _ O
? -X- _ O

Small -X- _ O
amount -X- _ O
of -X- _ O
electronic -X- _ O
wallet -X- _ B-HMS_SERVICE

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
I -X- _ O
forget -X- _ O
about -X- _ O
Huawei -X- _ B-ORG
's -X- _ O
payment -X- _ B-CARD_FEATURE
password -X- _ I-CARD_FEATURE
and -X- _ O
password -X- _ B-HMS_SERVICE_FEATURE
protection -X- _ I-HMS_SERVICE_FEATURE
issues -X- _ O
? -X- _ O

Dumbass -X- _ O

Where -X- _ O
can -X- _ O
I -X- _ O
view -X- _ O
the -X- _ O
Eid -X- _ B-CARD_TYPE
QR -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
? -X- _ O

mate20pro -X- _ B-HUAWEI_DEVICE
The -X- _ O
door -X- _ O
status -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
used -X- _ O
. -X- _ O

Which -X- _ O
city -X- _ O
traffic -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
can -X- _ O
be -X- _ O
used -X- _ O
? -X- _ O

Why -X- _ O
ca -X- _ O
n't -X- _ O
this -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
be -X- _ O
used -X- _ O
in -X- _ O
Wuhan -X- _ B-LOC
Metro -X- _ B-TRANSPORT
? -X- _ O

Can -X- _ O
I -X- _ O
use -X- _ O
the -X- _ O
card -X- _ O
to -X- _ O
unlock -X- _ O
the -X- _ O
phone -X- _ O
? -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
my -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
removed -X- _ O
? -X- _ O

What -X- _ O
should -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
I -X- _ O
want -X- _ O
to -X- _ O
stop -X- _ O
the -X- _ O
automatic -X- _ B-CARD_FEATURE
renewal -X- _ I-CARD_FEATURE
of -X- _ O
the -X- _ O
app -X- _ O
? -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
fails -X- _ O
to -X- _ O
swipe -X- _ O
the -X- _ O
card -X- _ O
? -X- _ O

Card -X- _ O
deletion -X- _ B-HMS_SERVICE_FEATURE
progress -X- _ O

How -X- _ O
to -X- _ O
delete -X- _ O
an -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
? -X- _ O

How -X- _ O
to -X- _ O
use -X- _ O
a -X- _ O
membership -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

The -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
opened -X- _ O
. -X- _ O
Why -X- _ O
? -X- _ O

Can -X- _ O
my -X- _ O
phone -X- _ O
nova4 -X- _ B-HUAWEI_DEVICE
use -X- _ O
an -X- _ O
electronic -X- _ B-CARD_TYPE
ID -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

I -X- _ O
would -X- _ O
like -X- _ O
to -X- _ O
ask -X- _ O
whether -X- _ O
my -X- _ O
phone -X- _ O
can -X- _ O
be -X- _ O
used -X- _ O
in -X- _ O
the -X- _ O
cloud -X- _ B-HMS_SERVICE
set -X- _ O
of -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
. -X- _ O

Hello -X- _ O
, -X- _ O
why -X- _ O
is -X- _ O
there -X- _ O
no -X- _ O
cloud -X- _ B-CARD_FEATURE
flash -X- _ I-CARD_FEATURE
payment -X- _ I-CARD_FEATURE
function -X- _ O
? -X- _ O

Incentive -X- _ O
fund -X- _ O

How -X- _ O
do -X- _ O
I -X- _ O
cancel -X- _ O
my -X- _ O
fingerprint -X- _ O
when -X- _ O
I -X- _ O
open -X- _ O
my -X- _ O
wallet -X- _ B-HMS_SERVICE
? -X- _ O

Can -X- _ O
I -X- _ O
take -X- _ O
an -X- _ O
electronic -X- _ B-CARD_TYPE
ID -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
on -X- _ O
a -X- _ O
high -X- _ O
iron -X- _ O
? -X- _ O

X9 -X- _ B-HUAWEI_DEVICE
does -X- _ O
the -X- _ O
wallet -X- _ B-HMS_SERVICE
have -X- _ O
a -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
? -X- _ O

Why -X- _ O
ca -X- _ O
n't -X- _ O
I -X- _ O
add -X- _ O
a -X- _ O
driver -X- _ O
's -X- _ O
license -X- _ O
? -X- _ O

My -X- _ O
first -X- _ O
binding -X- _ B-CARD_FEATURE
card -X- _ O
was -X- _ O
solved -X- _ O
before -X- _ O
, -X- _ O
but -X- _ O
recently -X- _ O
I -X- _ O
have -X- _ O
been -X- _ O
bound -X- _ O
back -X- _ O
, -X- _ O
can -X- _ O
still -X- _ O
participate -X- _ O
in -X- _ O
the -X- _ O
activity -X- _ O
? -X- _ O

[ -X- _ O
Huawei -X- _ B-ORG
] -X- _ O
[ -X- _ O
Account -X- _ O
] -X- _ O
[ -X- _ O
Password -X- _ O
] -X- _ O
[ -X- _ O
Mobile -X- _ O
phone -X- _ O
] -X- _ O
[ -X- _ O
Number -X- _ O
] -X- _ O
[ -X- _ O
No -X- _ O
] -X- _ O
[ -X- _ O
deregister -X- _ O
] -X- _ O
[ -X- _ O
Current -X- _ O
] -X- _ O
[ -X- _ O
Do -X- _ O
not -X- _ O
know -X- _ O
] -X- _ O
[ -X- _ O
How -X- _ O
to -X- _ O
do -X- _ O
? -X- _ O
] -X- _ O

My -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
can -X- _ O
not -X- _ O
add -X- _ O
China -X- _ B-ORG
Unicom -X- _ I-ORG
SIM -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
. -X- _ O

Nonhuman -X- _ O

Huawei -X- _ B-HUAWEI_DEVICE
HUAWEIMate8 -X- _ I-HUAWEI_DEVICE
wallet -X- _ B-HMS_SERVICE
has -X- _ O
no -X- _ O
key -X- _ O
package -X- _ O
after -X- _ O
the -X- _ O
upgrade -X- _ O
. -X- _ O

The -X- _ O
door -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
placed -X- _ O
on -X- _ O
the -X- _ O
phone -X- _ O
without -X- _ O
any -X- _ O
induction -X- _ O
. -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Overlap -X- _ O
the -X- _ O
Homepage -X- _ O
Scroll -X- _ O
? -X- _ O

Why -X- _ O
did -X- _ O
n't -X- _ O
I -X- _ O
apply -X- _ O
for -X- _ O
the -X- _ O
Shanghai -X- _ B-LOC
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
last -X- _ O
year -X- _ O
? -X- _ O

The -X- _ O
ID -X- _ B-HMS_SERVICE
entry -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
found -X- _ O
. -X- _ O

Why -X- _ O
ca -X- _ O
n't -X- _ O
I -X- _ O
see -X- _ O
the -X- _ O
entry -X- _ O
for -X- _ O
adding -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

I -X- _ O
ca -X- _ O
n't -X- _ O
open -X- _ O
the -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
. -X- _ O

Jinling -X- _ B-PER
Tongkaika -X- _ I-PER
100 -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
add -X- _ O
a -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

What -X- _ O
Is -X- _ O
Mobile -X- _ O
Phone -X- _ O
Recharge -X- _ O
? -X- _ O

It -X- _ O
's -X- _ O
annoying -X- _ O
to -X- _ O
pay -X- _ O
money -X- _ O
to -X- _ O
a -X- _ O
businessman -X- _ O
at -X- _ O
one -X- _ O
point -X- _ O
. -X- _ O

What -X- _ O
is -X- _ O
the -X- _ O
method -X- _ O
of -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
brush -X- _ O
when -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

In -X- _ O
other -X- _ O
cities -X- _ O
, -X- _ O
check -X- _ O
whether -X- _ O
the -X- _ O
Beijing -X- _ B-LOC
, -X- _ O
Tianjin -X- _ B-LOC
, -X- _ O
and -X- _ O
Hebei -X- _ B-LOC
interconnection -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
have -X- _ O
the -X- _ O
same -X- _ O
preference -X- _ O
. -X- _ O

The -X- _ O
wallet -X- _ B-HMS_SERVICE
adds -X- _ O
Shanghai -X- _ B-LOC
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
, -X- _ O
always -X- _ O
reported -X- _ O
this -X- _ O
error -X- _ O
is -X- _ O
what -X- _ O
? -X- _ O

My -X- _ O
mobile -X- _ O
phone -X- _ O
is -X- _ O
stolen -X- _ O
. -X- _ O
What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
with -X- _ O
my -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Can -X- _ O
I -X- _ O
use -X- _ O
it -X- _ O
in -X- _ O
Toronto -X- _ B-LOC
? -X- _ O

A -X- _ O
message -X- _ O
is -X- _ O
displayed -X- _ O
indicating -X- _ O
that -X- _ O
the -X- _ O
server -X- _ O
is -X- _ O
abnormal -X- _ O
. -X- _ O

The -X- _ O
new -X- _ O
P30 -X- _ B-HUAWEI_DEVICE
mobile -X- _ O
phone -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
moved -X- _ O
to -X- _ O
Suzhou -X- _ B-LOC
Tong -X- _ B-ORG
. -X- _ O

Entry -X- _ O
for -X- _ O
adding -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE

Can -X- _ O
I -X- _ O
cancel -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
's -X- _ O
payment -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
in -X- _ O
my -X- _ O
wallet -X- _ B-HMS_SERVICE
? -X- _ O

Are -X- _ O
you -X- _ O
good -X- _ O
? -X- _ O

Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
ca -X- _ O
n't -X- _ O
turn -X- _ O
it -X- _ O
off -X- _ O
. -X- _ O

Which -X- _ O
models -X- _ O
support -X- _ O
change -X- _ O
? -X- _ O

Does -X- _ O
the -X- _ O
brush -X- _ O
make -X- _ O
the -X- _ O
traffic -X- _ O
jam -X- _ O
? -X- _ O

Which -X- _ O
of -X- _ O
the -X- _ O
following -X- _ O
series -X- _ O
are -X- _ O
supported -X- _ O
by -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
bank -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Handle -X- _ O
the -X- _ O
Problem -X- _ O
that -X- _ O
the -X- _ O
Traffic -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE
Brushes -X- _ O
the -X- _ O
Metro -X- _ B-TRANSPORT
Station -X- _ O
Can -X- _ O
not -X- _ O
Be -X- _ O
Outbound -X- _ O
? -X- _ O

There -X- _ O
is -X- _ O
no -X- _ O
key -X- _ O
option -X- _ O
in -X- _ O
the -X- _ O
card -X- _ B-CARD_FEATURE
bag -X- _ I-CARD_FEATURE
. -X- _ O

How -X- _ O
to -X- _ O
use -X- _ O
\"borrow -X- _ O
money\ -X- _ O
" -X- _ O

Where -X- _ O
's -X- _ O
the -X- _ O
ant -X- _ B-CARD_USAGE
? -X- _ O
Where -X- _ O
's -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
? -X- _ O

Can -X- _ O
I -X- _ O
synchronize -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
in -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
to -X- _ O
Honor -X- _ B-HUAWEI_DEVICE
Band -X- _ I-HUAWEI_DEVICE
5 -X- _ I-HUAWEI_DEVICE
? -X- _ O

Can -X- _ O
not -X- _ O
fill -X- _ O
in -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
. -X- _ O
Only -X- _ O
the -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
and -X- _ O
membership -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
are -X- _ O
available -X- _ O
. -X- _ O
The -X- _ O
version -X- _ O
is -X- _ O
the -X- _ O
latest -X- _ O
9.0.2.300 -X- _ O
. -X- _ O

Lanzhou -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
payment -X- _ O
, -X- _ O
can -X- _ O
still -X- _ O
be -X- _ O
a -X- _ O
penny -X- _ O
? -X- _ O

No -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
added -X- _ O
to -X- _ O
my -X- _ O
card -X- _ B-CARD_FEATURE
bag -X- _ I-CARD_FEATURE
. -X- _ O

Obtain -X- _ O
the -X- _ O
recharge -X- _ B-CARD_FEATURE
invoice -X- _ I-CARD_FEATURE
of -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
. -X- _ O
All -X- _ B-CARD_TYPE
- -X- _ I-CARD_TYPE
in -X- _ I-CARD_TYPE
- -X- _ I-CARD_TYPE
one -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
in -X- _ O
each -X- _ O
city -X- _ O

Shimmering -X- _ O

Why -X- _ O
is -X- _ O
Huawei -X- _ B-ORG
sent -X- _ O
to -X- _ O
Huawei -X- _ B-ORG
if -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
added -X- _ O
? -X- _ O

What -X- _ O
are -X- _ O
the -X- _ O
\"sweeping\ -X- _ O
" -X- _ O
and -X- _ O
\"payment -X- _ O
code\ -X- _ O
" -X- _ O
in -X- _ O
the -X- _ O
wallet -X- _ B-HMS_SERVICE
? -X- _ O

Can -X- _ O
I -X- _ O
brush -X- _ O
a -X- _ O
bus -X- _ B-TRANSPORT
without -X- _ O
a -X- _ O
phone -X- _ O
watch -X- _ B-HUAWEI_DEVICE
? -X- _ O

I -X- _ O
had -X- _ O
a -X- _ O
Zhang -X- _ B-CARD_TYPE
Jiaotong -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
, -X- _ O
and -X- _ O
now -X- _ O
I -X- _ O
have -X- _ O
changed -X- _ O
my -X- _ O
phone -X- _ O
. -X- _ O
The -X- _ O
old -X- _ O
phone -X- _ O
has -X- _ O
broken -X- _ O
down -X- _ O
and -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
migrated -X- _ O
. -X- _ O

How -X- _ O
do -X- _ O
I -X- _ O
add -X- _ O
a -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
to -X- _ O
the -X- _ O
latest -X- _ O
version -X- _ O
? -X- _ O

The -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
shows -X- _ O
that -X- _ O
the -X- _ O
transaction -X- _ O
is -X- _ O
prohibited -X- _ O
. -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
not -X- _ O
associate -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
? -X- _ O

Why -X- _ O
do -X- _ O
n't -X- _ O
you -X- _ O
get -X- _ O
the -X- _ O
card -X- _ O
? -X- _ O

What -X- _ O
's -X- _ O
the -X- _ O
cost -X- _ O
? -X- _ O

The -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
sometimes -X- _ O
automatically -X- _ O
dissolves -X- _ O
is -X- _ O
how -X- _ O
to -X- _ O
return -X- _ O
a -X- _ O
responsibility -X- _ O
? -X- _ O

My -X- _ O
phone -X- _ O
is -X- _ O
a -X- _ O
Hong -X- _ B-LOC
Kong -X- _ I-LOC
version -X- _ O
. -X- _ O
It -X- _ O
is -X- _ O
used -X- _ O
in -X- _ O
mainland -X- _ O
China -X- _ B-LOC
. -X- _ O
Can -X- _ O
I -X- _ O
use -X- _ O
all -X- _ O
the -X- _ O
functions -X- _ O
of -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
? -X- _ O

Is -X- _ O
the -X- _ O
card -X- _ O
opening -X- _ O
fee -X- _ O
refunded -X- _ O
? -X- _ O

Can -X- _ O
I -X- _ O
bind -X- _ O
the -X- _ O
card -X- _ O
of -X- _ O
Bank -X- _ B-ORG
of -X- _ I-ORG
Communications -X- _ I-ORG
without -X- _ O
NFC -X- _ B-CARD_USAGE
? -X- _ O

I -X- _ O
ca -X- _ O
n't -X- _ O
get -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
. -X- _ O

Card -X- _ O
information -X- _ O
failed -X- _ O
. -X- _ O

How -X- _ O
to -X- _ O
add -X- _ O
an -X- _ O
electronic -X- _ O
certificate -X- _ O
? -X- _ O

pos -X- _ B-CARD_USAGE
machine -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
my -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
used -X- _ O
as -X- _ O
a -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Indicates -X- _ O
whether -X- _ O
to -X- _ O
refund -X- _ O
the -X- _ O
card -X- _ O
when -X- _ O
a -X- _ O
card -X- _ O
is -X- _ O
returned -X- _ O
. -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
my -X- _ O
phone -X- _ O
is -X- _ O
bound -X- _ O
with -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Submit -X- _ O
Logs -X- _ O
Remotely -X- _ O
? -X- _ O

Operation -X- _ O

What -X- _ O
is -X- _ O
the -X- _ O
use -X- _ O
of -X- _ O
Eid -X- _ B-CARD_TYPE
? -X- _ O

Facial -X- _ O
recognition -X- _ O
verification -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
used -X- _ O
. -X- _ O

0 -X- _ B-MONEY
yuan -X- _ I-MONEY
