labels	text	cls
O O O O O B_ORG O O O	Diese Technik wurde zuerst beim Morane-Saulnier L eingesetzt .	False
O O O O O O O O B_LOC O O O O O O O O O O O O O O	Der Verein wurde 1964 mit dem Namen „ Abaluhya Football Club “ gegründet um die große kenianische Luhya-Gemeinde im Fußball zu repräsentieren .	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC O O	Diese Lokomotiven sind unter den Länderbahnlokomotiven insofern bemerkenswert , als sie über einen Zeitraum von fast 25 Jahren beschafft worden sind , auch noch zu Zeiten der Deutschen Reichsbahn .	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC O O	Einwohnerentwicklung Langebrücker Kirche Heidehof Postkarte aus dem Jahre 1901 Landgasthof Hofewiese Der Ortsteil Heidehof entstand Anfang der Dreißiger Jahre westlich des alten Dorfkerns auf einem Gelände zwischen Bahndamm und Dresdner Straße .	False
O O O O O O O O O O O O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O	"Der 28-Jährige und sein Team , zu dem auch Karla Barquero gehört , demonstrieren im gemeinnützigen "" La Tirimbina Regenwald Zentrum "" westlich von Puerto Viejo de Sarapiquí , wie die Ureinwohner vor 500 Jahren das Getränk und Rohschokolade produzierten ."	False
O O O B_ORG O O O O O O	1954 wurde ein Opel Blitz als zweites Feuerwehrfahrzeug angeschafft .	False
O O O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O	In den Jahren 1991 bis 1996 bekleidete er die Funktion des Direktors des International Film Festival Rotterdam und des Hubert Bals Fonds , mit dem Filmproduktionen in Entwicklungsländern gefördert werden .	False
O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O	Radiologisches Institut Heidelberg 1907 übernahm er nach einer langen , schweren Krankheit die Nachfolge seines Lehrers Quincke in Heidelberg als Ordinarius der Physik und Direktor des physikalischen Instituts .	False
O O O O O B_LOC O O O O O O O O O	Wirtschaftsprüferin Hanna ( Sophie von Kessel ) erhält einen Anruf vom Arzt ihres Geburtsorts .	False
O O O O O O B_LOC O O O O O O O O O O O O O O	Am 1. Januar 1890 entstand die Schweizerische Südostbahn mit Sitz in Wädenswil , durch die Fusion der WE und der ZGB.	False
O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O	Der Bau der Lahnstraße 1846 von Biedenkopf nach Marburg ( der heutigen Bundesstraße 62 ) und die Obere Lahntalbahn hatte einen großen Einfluss auf die Beschäftigungsstruktur .	False
O B_LOC O O O O O O	Die Münchner Löwen trauern um Karl-Heinz Wildmoser .	False
B_PER O O O O O O O O B_PER O B_PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Helbig et al . ( 1994 ) S. 593. Wink & Seibold et al . ( 1998 ) S. 32 Inwieweit noch andere Falken , wie der Afrikanische Baumfalke ( Falco cuvieri ) oder der Malaienbaumfalke ( Falco serverus ) dieser Gruppe zuzuzählen sind , ist Gegenstand der Forschung .	False
O O O O O O O O O O O O O O O O O O B_LOC O O O O B_LOC O O O O O	In der Saison 2006/07 trat Frontzeck nach drei Spieltagen die Nachfolge von Dieter Hecking als Trainer von Alemannia Aachen an , der von Hannover 96 abgeworben worden war .	False
O O O O O O O O O O O O B_LOC O O O O O O O O O O	Um 1980 schlossen viele Minengesellschaften in den Northwest Territories , die von Buffalo Airways mit Gütern , Treib- und Brennstoffen versorgt wurden .	False
O O O O O O O O B_ORG O O O O O O O	"Den "" connect "" -Testsieg teilen sich das Nokia 5200 und das Sony Ericsson W200i ."	False
O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O	"In einer Fernsehdiskussion traf er auf den Kritiker Alexander Walker , der zuvor seinen "" Teufel von Loudun "" als "" schrecklich anstößig "" bezeichnet hatte und als Beleg Szenen anführte , die es so im Film gar nicht gibt ."	False
B_PER O O O O O	Gogol Bordello Karten zu verkaufen !	False
O O O O O O O O O O O O O O O O O O O O B_LOC O	Doch wo Licht ist , gibt es auch Schatten , sagt Konrad Schröder , Professor für Anglistik an der Universität Augsburg .	False
O O O O O O O O O O O O O O O O B_LOC O O O O O O O O	In „ Ein verhexter Fall “ spielt Michael Lerchenberg einen Richter , gegenüber dem Bullen von Tölz tauschen Kirche und Staat also die Rollen .	False
O O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O O O	21. Jahrhundert Rund dreißig Jahre nach der grundlegenden Umgestaltung hat die Augsburger Stadtverwaltung im Rahmen der Planungen zur Mobilitätsdrehscheibe Augsburg Hauptbahnhof nun erneut umfassende Baumaßnahmen für den Königsplatz angekündigt .	False
O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O	Aus dem Wappen der Ritters Rüdiger von Limbach , dem Besitzer des alten Pfarrhauses und ausgedehnte Güter , wurden die beiden Rosen in das Wappen einbezogen .	False
O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O B_LOC O	Die TU Ilmenau engagiert sich in internationalen und nationalen Netzwerken wie 3DTV , NEWCOM oder EURON bzw. „ OptoNet-Technologienetzwerk “ des Freistaates Thüringen , Polymermat , Automotive Thüringen .	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O	""" Es ist beabsichtigt , die Aktien im ersten Halbjahr 2007 von der Deka-Bank auf eine von der Sparkassen-Finanzgruppe zu errichtenden Gesellschaft zu übertragen "" , teilten das Frankfurter Institut und der Deutsche Sparkassenund Giroverband ( DSGV ) mit ."	False
O O O O O O O B_LOC O O O O O O O O O O	Auf die Börsenkurse der von Allianz und Münchener Rück hatte die Mitteilung am Montagmorgen keinen erkennbaren Einfluss .	False
O O O O O O O O O O O O O O O O O O O O O O O O B_PER B_PER B_PER O	""" Wir wollen nicht mit Pauken und Trompeten auftreten , sondern mit anderen Parametern Akzente setzen "" , so Architekt Kai Richter von Büro Bothe Richter Teherani ."	False
O O O O O O O O O O O O O O O O O O B_OTH O O O O O O O	"Der Spiele-Publisher Namco Bandai Networks bringt die bekannte Comic-Serie "" Inspektor Gadget "" auf das iPhone und den iPod Touch sowie auf alle Java-fähigen Handys ."	False
O O O O O O O O O O O O O O B_LOC O	Mit 16 Jahren kam der Wechsel zu Konyaspor und wenige Jahre später zu Galatasaray Istanbul .	False
O O O O O O O O O O O O O B_LOC O O O O O O O O O O O	Ärger für die Ebay-Aktion : Verbraucherschützer kritisieren den Verkauf von Fahrscheinen durch die Deutsche Bahn & ndash ; und wollen den Konzern nun abmahnen .	False
O O O O O O O O O O O O O O O O B_LOC O O	Von 1983 bis 1989 war Wilhelm Ernst Winterhager als Hochschulassistent für Neuere Geschichte an der FU Berlin tätig .	False
O O O O O O O O O O O O B_LOC O O O O O	Von 1925 bis 1928 war er Assistent , später wissenschaftlicher Mitarbeiter am Deutschen Institut für wissenschaftliche Pädagogik .	False
O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O	Während dieser Zeit promovierte er 1772 als Universitätskurator an der Universität Göttingen zum Doktor beider Rechte , übernahm 1774 die Stelle des Syndikus der Stadt Thorn und war königlich preußischer Hof- und Kriegsrat .	False
O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O O	Stand : Frühjahr 2008 Seit dem 19. September 2006 ist der Fußballklub Sorkhpoushan Delvar Afzar das Reserveteam Persepolis Teherans - Sorkhpoushan spielt in der Azadegan League ( 2.	False
O O O O O B_PER I_PER O O O O O	Erschüttert reagierte der Geschäftsführer der Loki Schmidt Stiftung , Axel Jahn .	False
O O O O O O O B_LOC O O O O O O O O O B_PER I_PER O O O O O O O O	Im Jahr 1999 wurde sie für den American Latino Media Arts Award für ihre Rolle im Fernsehfilm Aldrich Ames : Traitor Within ( 1998 ) nominiert .	False
O O O O O O O O O O O O O O O O O O O O O B_LOC O O	Für das Jahr 1599 ist belegt , dass die Familie ein Drittel des Zehnten des Dorfes Lahr als Lehen der Herrschaft Westerburg innehatte .	False
O O O O O O B_PER O B_PER O O O O O O O O O O O O	T-Aktien kletterten im vorbörslichen Handel bei Lang & Schwarz auf 13,63 zu 13,73 Euro nach einem Vortagesschluss bei 13,44 Euro .	False
O O O O O O O O B_LOC O O O	Borchert : Allein mit meinem Schatten und dem Mond , S. 34–36.	False
O O O O O O O O O O O O O O O O O O O B_LOC O O B_LOC O O	Mit sechs Punkten bleiben die Bayern damit Tabellenführer der Gruppe E. Mehr lesen Sie in der nächsten Ausgabe des Trostberger Tagblatts und Traunreuter Anzeigers .	False
O O O O O O B_ORG B_LOC O O O O O O O O O O O O B_ORG O O O O O O B_ORG O O O O O O O O	"Berg spricht hier als Chef von Microsoft Deutschland auch für das eigene Unternehmen , denn der Konzern liefert mit "" Microsoft TV "" die Softwareplattform für "" T-Home Entertainment "" , das IPTV-Angebot der Telekom ."	False
O O O O O O O O O O O O O O O B_ORG B_LOC O O O O O O	Am 25. Juni 2008 wurde der bis zum 30. Juni 2009 laufende Vertrag zwischen dem THW Kiel und Zvonimir Serdarušić einvernehmlich aufgelöst .	False
O O O O O B_LOC O O O O O O O	1876 wurde Rüedi in den Bündner Ärzteverein mit Sitz in Chur aufgenommen .	False
O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Erster Weltkrieg und Weimarer Republik Nach dem Ersten Weltkrieg wurde auf der 57. GV 1919 in Frankfurt wiederum die Unitas-Winfridia mit cand . med . A. Hain als VOP zum Vorort gewählt .	False
O O O O O O O O O B_LOC O O O O O O O O O O O O O	Im März 1998 wurde Steffen Hupka durch das Landgericht Göttingen wegen Verstoß gegen das Versammlungsgesetz zu sechs Monaten Haft auf Bewährung verurteilt .	False
O O O B_LOC O O O O O O O O O O O O	In der Burg Böckelheim wurde im Dezember 1105 Kaiser Heinrich IV. von seinem Sohn gefangengehalten .	False
O O O O O O O O O O O O O O O O O O O O O B_LOC O O O O	"Hamburg - "" Die Zeit ist reif dafür "" , sagte Familienministerin Ursula von der Leyen ( CDU ) der "" Frankfurter Allgemeinen Sonntagszeitung "" ."	False
O O O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O	Angesichts von Werbeverboten und ihrem Streit mit dem Bundeskartellamt um die Vergabe der Bundesliga-Rechte hat die Deutsche Fußball Liga ( DFL ) gegenüber der Politik den Konfrontationskurs eingeschlagen .	False
O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	( Standard Oil of New Jersey ) , die ausgesprochen „ Esso “ ergeben ( heute ExxonMobil ) . ; Exxon : Ein Name , der in den frühen 1970ern von Esso erfunden wurde , um ein neutrales aber eindeutiges Markenzeichen für das Unternehmen zu haben .	False
O O B_OTH O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Düsseldorf ( aktiencheck.de AG ) : - Nachdem der Sprung auf ein neues Allzeithoch ( 1.070 USD ) gelungen ist , gönnt sich der Goldpreis derzeit eine Verschnaufpause , so die Analysten von HSBC Trinkaus Burkhardt .	False
O O O O O O O O O O O O B_LOC O O O B_OTH O O O O O	In den Jahren 2001 bis 2006 war sie an der Evangelischen Akademie Arnoldshain für das Projekt Bibel in gerechter Sprache zuständig .	False
O O O O O O O O B_LOC O O O O O O O	An die Erfolge des Berliner Fußballclubs konnte der Frankfurter FC Vorwärts jedoch nicht mehr anknüpfen .	False
O O O O O O O O O O O O O O B_LOC O O	Es wurde eine Liste von 25 Bürger aufgestellt , die hartnäckige Gegner der Autonomen Pfalz waren .	False
O O O O O O O O O O O O B_LOC O	Sein Comeback feierte er am 26. Mai 1979 beim DFB-Pokalspiel gegen RW Oberhausen .	False
O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O	Der erste Versuch geht auf Enno Patalas zurück , der im Jahr 1989 im Münchener Filmmuseum aus drei erhaltenen Kopien des Films eine Fassung zusammengeschnitten hat , die sich eng am Drehbuch Mark Sorkins orientierte .	False
O O O O O O O O O O O O O O B_ORG O O O O O O O O O	Im Jahre 146 v . Chr . besiegte der römische General Lucius Mummius den Achäischen Bund und Griechenland wurde zur römischen Provinz erklärt .	False
O O O O O O O O O O B_LOC O O	Einzelnachweise Weblinks * Jaime Mayor Oreja auf der Homepage des Europäischen Parlaments .	False
O O O O O O O O O O O O O O O O O O O B_LOC O O	Staatliches Gymnasium ab 1918 bis zur Schließung 1950 Nach dem Ersten Weltkrieg wurde die Schule in Staatliches Humanistisches Gymnasium Erfurt umbenannt .	False
O O O O O O O O B_OTH O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	"Senden Exxon Mobil "" buy "" Paris ( aktiencheck.de AG ) - : Aymeric de-Villaret , Analyst der Société Générale , stuft die Aktie des US-amerikanischen Unternehmens Exxon Mobil ( ISIN US30231G1022/ WKN 852549 ) mit "" buy "" ein ."	False
O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O	"Die Existenz des "" Herbsteiner Springerzuges "" ist ab 1688 urkundlich nachgewiesen und geht in den Ursprüngen auf das 13. Jahrhundert zurück , als Fahrensleute sich mit Tänzen zum Winteraustreiben Geld verdienten ."	False
O O O O O O O O O O O B_LOC O O O O	Kultur und Sehenswürdigkeiten Sehenswürdigkeiten * Im Ort ist das „ Besucherbergwerk Bindweide “ zu besichtigen .	False
O O B_PER O O O O B_PER O O O O O O O	Pflegeheim Schloss Zedtwitz Das Pflegeheim „ Schloss Zedtwitz “ ist im Jahr 2000 entstanden .	False
O O O B_LOC O O O O O O O O O O O O O O O O O O O O	"Wie die "" Saarbrücker Zeitung "" berichtet hatte , mussten sich Unteroffiziere nackt ausziehen , und sich anschließend auf perverse Weise traktieren lassen ."	False
O O O O O O O O O O B_LOC O O O O O O O O O O O O O O	Souness hatte zuvor im englischen Fußball große Erfolge beim FC Liverpool gefeiert und setzte in der Transferpolitik - unterstützt von Holmes - neue Maßstäbe .	False
O O O O O O O O O O B_LOC O O O O O O O	Egidius Braun : Stabiler Zustand nach Notoperation Der Ehrenpräsident des Deutschen Fußball-Bundes Egidius Braun im Juli 2005 .	False
O O O O O O O O B_PER O O O O O O O O O O O O O O O O O O O O	Bis 1994 wurden drei Passagier-Fracht-Schiffe ( MS Kong Harald , MS Richard With , MS Nordlys ) an die norwegische Postschifflinie Hurtigruten sowie ein Laderaumsaugbagger an Indonesien übergeben .	False
O O O O O O O O O O O O O O O O O O O O O O O O O B_PER O O O O O O O O O O O O	Aus dem staatlichen Rettungspaket fliessen jetzt weitere 20 Milliarden US-Dollar in bar . Dies zeige , dass den USA keine zweite Pleite wie im Fall Lehman Brothers bevorstehe , ergänzte Hideyuki Ishiguro , Anlagestratege bei Okasan Securities .	False
O O O O O O O O O O B_PER I_PER O O O O O O O O O O O O O O O O O O O O O O O O O B_PER O B_LOC O O	Routledge , 1998 ( auszugsweise bei Google Books ) * Ernst Ohlmer sein Leben und Wirken , in : Aus der Heimat vom 19. Februar 1981 , Hildesheim , ( aus : Karl Ohlmer : Das Geschlecht Ohlmer aus Nordstemmen ) .	False
O O O O O O O O O O O O O O O O B_LOC O O O B_LOC O O O O O O O O O O O	Fußball Regionalliga - Wehen und Hoffenheim marschieren weiter - Handelsblatt.com : Sport : Fußball Der SV Wehen und die TSG Hoffenheim befinden sich in der Regionalliga Süd weiter auf dem Vormarsch .	False
O O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O	"In dem Antrag kritisieren die Grünen , dass den Abgeordneten im Bundestag "" bis heute "" die Wirtschaftlichkeitsrechnung der Deutschen Bahn AG für das Gesamtprojekt "" mit Verweis auf ein angebliches Betriebs- und Geschäftsgeheimnis nicht vorgelegt wurde "" ."	False
O O O O O O O B_ORG B_LOC O O	Das Gros wird aus dem Zweckertrag der Sparkasse Elbe-Elster finanziert .	False
O O B_LOC O O O O O O O O O O O O O O O	Während des spanischen Bürgerkriegs ( 1936–39 ) war Juan de Borbón zunächst den antirepublikanischen Truppen zugeneigt gewesen .	False
O O O O O B_LOC O O O O O O O O O O O O	Auf der Webseite des 1.FC Köln wurde nun ein Interview mit dme 22 Jahre alten Defensivsspezialisten veröffentlicht .	False
O O O O O O O O O O O O O B_LOC O O O O O O O O O	Geographie Das Gebiet der Westsahara liegt im Nordwesten Afrikas an der Küste zum Atlantischen Ozean und umfasst eine Fläche von 266.000 km² .	False
O O O O O O O O O O O O O O O O O O O O O O B_LOC O O	Leben Nach der Einberufung zum Wehrdienst , Verwundung im Zweiten Weltkrieg und Kriegsgefangenschaft studierte er von 1946 bis 1950 an der TH Dresden Mathematik .	False
O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O	Zu Gast ist das Theater „ Hamburger Engelsaal “ , das mit viel Musik um 20.00 Uhr die Geschichte vom Seemann erzählt , der nach langen Jahren zurück nach St . Pauli kommt .	False
O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O	Ratlosigkeit im Alinghi-Team Brad Butterworth , der sich mit seiner früheren Aussage , es handle sich beim 33. America's Cup um ein Design-Rennen , konfrontiert sah , verdeutlichte die Ratlosigkeit , die im Alinghi-Team herrscht .	False
O O O O O B_LOC O O O O O O O O O O O O O B_LOC O O O O O O O O O	Amtierender Schweizer B-Meister ist der Lausanne HC , der nach der Niederlage in der Ligaqualifikation gegen den NLA-Letzten EHC Biel nicht in die National League A aufgestiegen ist .	False
O O O O O O O O O B_ORG B_LOC O	1995 erfolgte erstmals die Prüfung der Bahn durch den TÜV Berlin-Brandenburg .	False
O O O O O O O O O O O O O O O O O O O O B_LOC O O O O	Nach vielen Unruhen , die durch die Revolution und den Irak-Krieg entstanden , wurde Anfang der 1990er eine Umstrukturierung der Iran Air Tours vorgenommen .	False
O O O O O B_OTH O O O O O O O O O O O O O O	Abrufbar unter : Digitalisat bei Google Books Das Exportgeschäft kam jedoch in den Regionen unter türkischer Herrschaft zum Erliegen .	False
O O O O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O	Bei dem Mann , der am Samstagnachmittag im Berliner Reichstagsgebäude ums Leben gekommen ist , handelt es sich nach Informationen der Berliner Morgenpost um einen 45 Jahre alten Solinger .	False
O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Anmeldungen sind bis heute um 16 Uhr bei der Leutkircher Bank in Ausnang , Telefon ( 07561 ) 2596 / Fax : 2594 ) oder bei Franz Graf , Telefon ( 07561 ) 2596 ; Fax 912877 , E-Mail : FranzGraf@t-online.de mit Angabe des Jahrganges , möglich .	False
O O O O O O O O O O O O O B_LOC O O O O O O O	1935 konnte er dann auch als Manager seinen ersten Titel feiern , die Chicago Cubs wurden in sechs Spielen bezwungen .	False
O O O B_LOC O O O O	Das Areal am Connewitzer Wehr ist abgesperrt .	False
O O O O O O O O O O O O B_LOC O O O O O O	In London geht es für International Power um 1,8 Prozent und für Scottish Power um 0,9 Prozent aufwärts .	False
O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Hermann Schack von Buchwald '' ( * 1705 , Sachsen-gothaischer Oberhofmeister , Lübecker Domherr seit 5. April 1741 , † 1761 ) ließ das heutige Schloss ab 1743 als Nachfolger einer mittelalterlichen Wasserburg für sich und seine Frau Juliane Franziska errichten .	False
O O B_PER O B_PER O O O O O O O O O O O O O O O O O O O O	Der Verlag Kiepenheuer & Witsch wird die Kölner Ausgabe seiner Werke , ediert in einem kaum für möglich gehaltenen Tempo , im Herbst komplettieren .	False
O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Vor 2000 Zuschauern im Torino Esposizioni erzielten Niko Kapanen ( 3. ) und Saku Koivu ( 40. ) jeweils in Überzahl die Tore für den Olympia-Sechsten von 2002 , der im Viertelfinale am Mittwoch ( 17.35 Uhr ) auf die USA trifft .	False
O O O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O O	Nur allzu deutlich sei die Abwesenheit von US-Diplomaten bei den meisten diplomatischen Initiativen für Friedensverhandlungen gewesen , die von der Europäischen Union in diesem Monat initiiert worden seien .	False
O O O O O O O O O O O O O O O O O O O O O O B_LOC I_LOC I_LOC O	Der 1942 in Basel geborene Ingold war Kulturkorrespondent großer Zeitungen und seit 1971 Professor für Kultur- und Sozialgeschichte Russlands an der Universität St . Gallen .	False
O O O O O O O O B_LOC O O O O O O O	Konflikte wie der Zweite Nordische Krieg und der Schwedisch-Brandenburgische Krieg verhinderten eine Neuerfassung der Daten .	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_PER I_PER O O	"Außerdem im Wettbewerb : Die experimentelle Comic-Adaption "" Sin City "" von Robert Rodriguez und Frank Miller sowie das Regie-Debüt des US-Schauspielers Tommy Lee Jones , "" Three Burials of Melquiades Estrada "" ."	False
O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O	Zweiter Weltkrieg Mit dem „ Anschluss “ an das Deutsche Reich 1938 verlor nicht nur Österreich seine Unabhängigkeit , auch Klosterneuburg büßte seine Selbständigkeit ein .	False
O O O O O O B_LOC O O O O O O O O O O O O O	Medien In Camrose wird der Camrose Canadian vertrieben , eine kleine zweiwöchentliche Zeitung , die es seit 1908 gibt .	False
B_ORG O O O O O O O O O O O O O O O O O O O O O	WELT ONLINE : Der bisherige Saisonverlauf erweckt den Eindruck , die Bayern hätten auch rein sportlich mehr Potenzial als die Konkurrenz .	False
O O O O O B_LOC O O O O O O O O O B_LOC O O O O O O O O O B_LOC O O O O O O	Der Fuball- und Leichtathletik Verband Westfalen erteilte Klaus Kämper , Trainer des A-Ligisten SG Viktoria Dortmund , für sein Auftreten beim Gastspiel bei der TuS Neuasseln vom 5. Oktober einen Verweis .	False
O O O O O O O O O O O O B_LOC O	Der FCZ tut sich schwer mit dem defensiv sehr gut eingestellten FC Thun .	False
O O O O O B_LOC O O O O O O O	Düsseldorf ( RPO ) Die Süddeutsche Zeitung hat kräftig über Düsseldorf gelästert .	False
O O O O O O O O O O O O O O O O O O O O B_LOC O O	Das unternehmenslustige Ehepaar überraschte die eigene Familie und die Freunde anläßlich ihre diamantenen Hochzeit mit einer Bootstour und Feier am Plöner See .	False
O O O O O O O O O O O B_LOC O O O O O O O O O	1928 promovierte er bei dem Betriebswirtschaftler Emil Lang an der Universität Königsberg mit einer Arbeit über die Wertabschätzung der Obstbäume .	False
O O O O O O O O O O O O O O O O B_ORG I_ORG B_LOC O O O O	""" Wir erwarten ein problematisches Jahr "" , bringt es Reinhold Riebl , erster Bevollmächtigter der IG Metall Ulm auf den Punkt ."	False
O O O O O O O O B_ORG I_ORG O O O O O O O O O O O O O O O O O O O O O	Jens-Christian Wagner : Produktion des Todes : Das KZ Mittelbau-Dora , Göttingen 2001 , S. 656 Am 4. April 1945 leitete er einen Evakuierungsmarsch mit etwa 400 Häftlingen aus Rottleberode .	False
O O O O O O B_PER O O O O O O O O O O O O O O O O O	"Die erste reguläre Ausgabe von "" Wickerts Bücher "" sahen um 22.45 Uhr in der ARD 820 000 Zuschauer ( 4,8 Prozent ) ."	False
O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O	Geschichte Die erste schriftliche Erwähnung von Zborov erfolgte 1464 , als die Tunkl von Brníčko das Dorf zusammen mit weiteren Orten der Herrschaft Schildberg erwarben und der Herrschaft Hohenstadt zuschlugen .	False
O O O O O O O O B_LOC O O O O O O O O O O O O O	Für einen weiteren Schub sorgte der Bau der Thüringischen Zellwolle AG im Jahr 1935 im Rahmen des Autarkie -Programms der Nationalsozialisten .	False
O O B_LOC O O O O O O O O O O O O	Auf der Segeberger Chaussee fiel er anderen Autofahrern auf , die die Polizei alarmierten .	False
O O O O O O O O O O O O B_LOC O O O O O O O B_LOC O O O O O O O O O O	Werdegang und Arbeit für den Völkerbund Der Vater Bernardus Marinus Rost van Tonningen auf einer Zeichnung , 1905 Rost van Tonningen wurde 1894 in Niederländisch-Ostindien geboren ( heute Indonesien ) .	False
O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O	Auf diese Weise gelang es Moira Wilson von der University of Manchester und ihren Kollegen keramische Objekte im Alter bis zu 2000 Jahren recht genau zu bestimmen .	False
