labels	text	cls
O O O O O U_currency_name O B_currency_name L_currency_name	tell me the exchange rate us versus indian rupees	False
O O O U_currency_name O U_currency_name O O	what 's the pound to dollar exchange rate	False
O O O O O U_currency_name O U_currency_name	what is the exchange of euro to dollars	False
O O O O O O O O U_place_name O U_place_name	tell me the current dollar ratio for the us and canada	False
O O O O O O B_currency_name L_currency_name O O B_currency_name L_currency_name	give me the exchange rate between japanese yen and the australian dollar	False
O O O O O O O	what is the currency conversion charges applicable	True
O O U_currency_name O O O O U_currency_name	is a peso worth more than a dollar	False
O O O O B_currency_name I_currency_name L_currency_name O B_currency_name I_currency_name L_currency_name	how much is a g. b. p. in u. s. d.	False
O U_currency_name O O O O O	is euro the best currency to trade	False
O O O O B_currency_name L_currency_name O O U_currency_name	how much is the us dollar versus the pound	False
O O B_currency_name L_currency_name O O O O O O U_currency_name	how much philippine peso do i need to make fifty dollars	False
O O B_currency_name L_currency_name O U_currency_name	convert five s. d. to rials	False
O O O U_currency_name O B_currency_name L_currency_name	exchange rate between dollar and mexican peso	False
O O U_currency_name O O O O U_currency_name	how many pounds would i get for dollars	False
O O O U_currency_name O O O U_currency_name	how does the dollar compare to the pound	False
O O O O O U_currency_name	what is one dollar in euros	False
O O B_currency_name L_currency_name O O U_currency_name	convert the american dollar to the euro	False
O O O O U_currency_name O	how much is an euro worth	False
O O O O O O O O O O	which bank will give better rate for currencies i have	True
O O O O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	what is the current exchange rate from u. s. d. to rupies	False
O O O	currency converter please	True
O O U_currency_name O O U_currency_name	how many dollars is in pounds	False
O O U_currency_name O O B_currency_name I_currency_name L_currency_name	how many euros for one u. s. d.	False
U_currency_name O B_currency_name I_currency_name L_currency_name	euro to u. s. d.	False
O O U_currency_name O O O U_currency_name	how many dollars are in a euro	False
O O O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	given me the exchange rates between u. s. d. and inr	False
O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	show conversion rate of u. s. d. and euro	False
O O O	foreign exchange rates	True
O O O O O O U_currency_name O U_currency_name	what is the exchange rate between us and canada	False
O O U_currency_name O U_currency_name	conversion between dollars and pounds	False
O O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	what 's the exchange between u. s. d. and cad	False
O O O O O O U_currency_name O U_currency_name	please give me detail of one yen equals dollar	False
O O O O U_currency_name O O B_currency_name L_currency_name	how much is the euro versus the canadian dollar	False
O O U_currency_name O O O O O U_currency_name	is the pound up or down against the dollar	False
O U_currency_name O U_currency_name	exchange euro to dollar	False
O O O B_currency_name L_currency_name O O O O U_currency_name	what 's the dollar 's exchange rate with the euro	False
O O O O O O U_currency_name O B_currency_name L_currency_name	what is the equivalent of one inr in zimbabwe dollars	False
O O O O O B_currency_name I_currency_name L_currency_name O B_currency_name I_currency_name L_currency_name	what is the rate for g. b. p. to u. s. d.	False
O O O O O O U_currency_name O U_currency_name	what is the exchange rate of euro and dollar	False
O O U_currency_name O U_currency_name	what is dollars in pesos	False
O O B_currency_name L_currency_name U_date	what is us dollar today	False
O O	exchange rates	True
O O O O O	what 's the exchange rates	True
O O O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	what is the exchange rate between u. s. d. and inr	False
O O O O O O B_currency_name I_currency_name L_currency_name O B_currency_name L_currency_name	give me the exchange rate between united states dollar and indian rupee	False
O O O O O O O O O O O O O	i would like my to tell me the trend on foreign exchange rates	True
O O O O	please check exchange rates	True
O O O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	what is the exchange rate of u. s. d. to cdn	False
O O O O O O O U_currency_name O U_currency_name	tell me the exchange rate of ten dollar to euro	False
O O O U_currency_name O O U_currency_name	how much is dollar worth in persos	False
O O O O O O O B_currency_name L_currency_name O O B_currency_name L_currency_name	what is the exchange rate between the us dollar and the aus dollar	False
O O O O O O O B_currency_name L_currency_name O O U_currency_name	please check the exchange rates of the us dollar vs the euro	False
O O O O O O U_currency_name O B_currency_name L_currency_name	what is the current rate of euro to us dollars	False
O B_currency_name I_currency_name L_currency_name O O O U_currency_name	show u. s. d. currency value of euro	False
O O O O U_currency_name O O B_currency_name L_currency_name	how much is the euro worth versus us dollar	False
O O U_currency_name O O O O O U_currency_name	how many dollars can i get for one yen	False
O O O O O O U_currency_name O U_currency_name	show me the exchange rate between czk and dollar	False
O O U_currency_name O B_currency_name I_currency_name L_currency_name	how many euro in u. s. d.	False
O O O O U_currency_name O O U_currency_name O O	if i have a dablune how many dollars is that	False
O O O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	what is the exchange rate between u. s. d. and cad	False
O O O O O O B_currency_name L_currency_name U_date O U_currency_name	what is the exchange rate of us dollar today for rupee	False
O O O O O O O O U_currency_name O O U_currency_name	what is the current exchange rate between the dollar and the euro	False
U_currency_name O	dollar rate	False
O O O B_currency_name L_currency_name O U_currency_name	how much is us dollar against rupee	False
O O O O O U_currency_name O B_currency_name L_currency_name	what the conversion rate from yen to us dollars	False
O O O B_currency_name L_currency_name O O O U_currency_name	what is a canadian dollar worth in the us	False
O O U_currency_name O B_currency_name L_currency_name	convert one pound to us dollar	False
O O O B_currency_name L_currency_name O O B_currency_name L_currency_name	how much is indian rupee going against us dollar	False
O O O O O U_currency_name O B_currency_name L_currency_name	what is the exchange between dollar and british pound	False
O O O B_currency_name L_currency_name O O O U_currency_name	what is the us dollar equivalent of one euro	False
O O O O O	Show me popular exchange rates	True
O O O O B_currency_name L_currency_name O U_currency_name	how much is twenty argentinian pesos in pounds	False
O O O O O O U_currency_name O U_currency_name	tell me the exchange rate of rupee for dollar	False
O O U_currency_name O O O O B_currency_name I_currency_name L_currency_name	how many dollars are there in a g. b. p.	False
O B_currency_name I_currency_name L_currency_name O B_currency_name I_currency_name L_currency_name	rate u. s. d. to g. b. p.	False
O O O O U_currency_name O O U_currency_name	how much is five dollars worth in euros	False
B_currency_name I_currency_name L_currency_name O O	u. s. d. position now	False
O O O O O U_currency_name O B_currency_name I_currency_name L_currency_name	how much is two thousand yen in u. s. d.	False
O O O O O O O U_currency_name O U_currency_name	what is the current exchange rate of euro to dollar	False
O O O O O O O U_date	what is the exchange rate as of today	False
O O O O O U_currency_name O U_currency_name	what 's the rate between pesos and yen	False
O O O U_currency_name B_currency_name L_currency_name O O	what is the yen us dollar exchange rate	False
O O O O O O O O O O	what is the current exchange rate between dollars and euros	True
O O B_currency_name L_currency_name O B_currency_name L_currency_name	convert one us dollar to british pound	False
O B_currency_name I_currency_name L_currency_name O B_currency_name I_currency_name L_currency_name	exchange u. s. d. to g. b. p.	False
U_currency_name O O O	dollar rate at present	False
O O O O O B_currency_name L_currency_name O U_currency_name	which currency is greater the us dollar or yen	False
O O O U_currency_name O U_currency_name	exchange rate of yan with dollar	False
O O O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	what is the exchange rate between u. s. d. and euro	False
O O O B_currency_name I_currency_name L_currency_name O U_currency_name	currency conversion of u. s. d. and eur	False
O O O O B_currency_name L_currency_name O B_currency_name L_currency_name	siri what is one american dollar in japanese yen	False
O O O O O O B_currency_name I_currency_name L_currency_name O B_currency_name L_currency_name O	what 's the rate between the u. s. d. and ukraine 's currency	False
O O	check currencies	True
O O O O O O O	how many euros are in a dollar	True
O O O O O O O O O U_place_name	what would be the exchange rate of currency in japan	False
O O O O U_currency_name O U_currency_name	how much is ten euros in dollars	False
O O O O U_currency_name O U_currency_name	how much is one dollar in pounds	False
O O O U_currency_name O U_currency_name	exchange rates between dollar and euro	False
U_currency_name U_currency_name O O	canadian us exchange rate	False
O O U_currency_name O U_currency_name	convert one dollars to rupees	False
O O O O O U_currency_name O B_currency_name I_currency_name L_currency_name	what is the price of euro to u. s. d.	False
O O O O O O U_date	is the exchange rate changed from yesterday	False
O O O U_currency_name O B_currency_name I_currency_name L_currency_name	exchange rates of inr and u. s. d.	False
O O U_currency_name O B_currency_name I_currency_name L_currency_name U_date	how much yens per u. s. d. today	False
O O O	current forex rates	True
O O O O U_currency_name O O U_currency_name	how much is the dollar verus the pound	False
U_currency_name O O B_currency_name L_currency_name	dollar rate of philippiness peso	False
O O O O O O U_currency_name O U_currency_name	find me the exchange rate between dollars and bitcoin	False
O O	currency exchange	True
O O O U_currency_name O O U_currency_name	what is a peso worth in dollars	False
O O O O O O U_currency_name O U_currency_name	look up the exchange rate between dollars and bitcoin	False
O O O O O O U_currency_name	how many bots are in a dollar	False
O O O O U_currency_name O O O O O	if i have twenty dollars how many francs is that	False
O O B_currency_name L_currency_name O O O U_currency_name	how many american dollars are in a euro	False
O O O U_currency_name O U_currency_name	siri what is dollars in yen	False
O O O O B_currency_name I_currency_name L_currency_name O U_currency_name	show exchange rate of u. s. d. and inr	False
O O U_currency_name O O B_currency_name L_currency_name	how many pesos to an american dollar	False
O O O	current currency rate	True
O O U_currency_name B_currency_name I_currency_name L_currency_name O O	what 's euro u. s. d. right now	False
O O O O O O U_currency_name O U_currency_name O	what is the current value of yen in american money	False
O O O B_currency_name L_currency_name U_currency_name O O	what is the us dollar euro exchange rate	False
O O O O O U_currency_name O U_currency_name	how much is twenty two usd in euros	False
O O O O O O O B_currency_name L_currency_name O B_currency_name L_currency_name	what is the exchange rate for the english pound and us dollar	False
O O O O O O O B_currency_name L_currency_name O U_currency_name	how much is two thousand five hundred philippine pesos in dollars	False
O O U_currency_name O O U_currency_name	how many dollars is twelve pesos	False
O O O U_currency_name O B_currency_name I_currency_name L_currency_name	exchange rate from cad to u. s. d.	False
O O O O B_currency_name L_currency_name O O U_currency_name	how much is one american dollars worth in england	False
O O O O U_currency_name	what is price of dollar	False
O O O O O O O O B_currency_name L_currency_name O U_currency_name	please let me know the exchange rate between indian rupees and us	False
O O O O	currency to currency rate	True
O O O O O O U_currency_name O U_currency_name	what is the exchange rate of rupee for dollar	False
O O O B_currency_name L_currency_name O U_currency_name O O	what is the us dollar and euro exchange rate	False
O O O O O O O O U_currency_name O U_currency_name	let me know about the exchange rate of rupee to dirham	False
O O U_currency_name O O O U_currency_name	how many dollars are in a pound	False
O O O O O U_currency_name O U_currency_name	exchange rate for converting ten dollar to euro	False
O O O O U_currency_name O B_currency_name I_currency_name L_currency_name	what is six hundred euros in u. s. d.	False
O O O U_currency_name O O	what is the dollar exchange rate	False
O O O U_currency_name O O U_currency_name	what is the dollar against the pound	False
O O O O O O O O U_currency_name O O U_currency_name	please show me the exchange rate between the dollar and the yen	False
O O O O O U_currency_name O U_currency_name	what is exchange for the us and euro	False
O O O O O O O O O O U_currency_name O B_currency_name I_currency_name L_currency_name	could you please tell me what is the rate for pound to u. s. d.	False
O O U_currency_name O O O O O U_currency_name	how many euro will i get for ten dollars	False
O O O O O O B_currency_name I_currency_name L_currency_name O B_currency_name L_currency_name	give me the exchange rate between united states dollar and canadian dollar	False
O O O O O O B_currency_name L_currency_name O U_currency_name	what is the exchange rate between us dollars and bitcoin	False
O O O O O U_currency_name O O U_currency_name	how much money is one dollars worth in denmark	False
O O O O O O O O O U_person O O U_date O	write down that i am going to meet with jenny on the third okay	False
O B_date L_date O O O O B_event_name I_event_name I_event_name L_event_name O O	on third april we will go to watch j llb movie set it	False
O O U_event_name O U_person O U_date	schedule a meeting with al on tuesday	False
O O O O U_event_name O B_time L_time U_date	remind me the upcoming meeting at four am today	False
O O U_event_name O B_time L_time O B_time L_time	reminder about meeting from eight am to twelve pm	False
O O O B_time L_time	new reminder at three pm	False
O B_event_name L_event_name	set rotating event	False
O O O U_event_name O U_timeofday U_date	i have a meeting at noon today	False
O U_meal_type O B_place_name I_place_name I_place_name L_place_name U_date O U_timeofday	schedule lunch at tomo in arcata california tomorrow at noon	False
O O O O	add event to calendar	True
O O O O B_date L_date O O O O	set a reminder for two days prior of the event	False
O O U_general_frequency O B_time L_time O U_meal_type	remind me everyday at two pm for lunch	False
O O O U_event_name O B_time I_time L_time	remind me to eat when i get home	False
O O O O O O U_event_name O B_relation L_relation U_date	i need to set up a meeting with the ceo tomorrow	False
O O U_event_name O O O O	create a meeting event in my calendar	False
O U_event_name O O U_date	make appointment for next friday	False
O O O U_event_name	latest reminder about meeting	False
O O O O O B_event_name L_event_name U_date O B_time L_time	set a reminder for my shopping trip tomorrow at five pm	False
O O B_general_frequency L_general_frequency O O O O	remind me every year on this date of	False
O O O O U_time O	set reminder notification for three o'clock	False
O	reminders	True
O O O O O O B_time L_time U_event_name O O O O	notify me an hour before my two pm appointment at the car dealership	False
O O O O O O U_date	i need you to mark next monday	False
O O O O O U_event_name O O U_date	let me know when my meetings are on monday	False
O O O O B_person L_person U_event_name B_date L_date	set a reminder for john 's birthday next week	False
B_general_frequency L_general_frequency O O B_time L_time O O O O U_person	every wednesday night at five pm remind me to meet phil	False
O O U_event_name O U_person	set a meeting with hongbin	False
O O O O O O	invite people to the calendar event	True
O O U_date O U_time O O O	remind me tomorrow at four about an event	False
O O O O O B_date L_date O B_place_name I_place_name L_place_name O B_time L_time	add practice to calendar on feb four at king 's park at two pm	False
O O O O O O B_person L_person U_event_name O	set a two day notification before maria 's birthday please	False
O O O O O U_event_name O U_date	let me know of the meeting on tuesday	False
O O O O O B_event_name L_event_name	meeting update my calendar to reflect meeting	False
O O O O O O B_general_frequency L_general_frequency	remind me at the start of each month	False
O O B_event_name L_event_name O O U_date O O O	add my car payment on the twelfth in my calendar	False
O O O O O O U_event_name O B_time L_time	give me an update on the election in one hour	False
O B_date L_date O U_meal_type O O O U_business_type	on february fourteenth make dinner reservations at the restaurant	False
O O U_event_name O U_general_frequency	repeating event meeting on mondays	False
O O O	please set reminder	True
O O O O O O B_event_name I_event_name L_event_name	remind me if i miss my evening walk routine	False
O O O O O O O B_time L_time	please remind me about the event later five pm	False
O O O O B_date L_date O O O O U_event_name	schedule a reminder on fifteenth march and input name as meeting	False
O O O O O B_event_name L_event_name O	tell me when my next doctors appointment is	False
U_event_name O U_date	meeting this friday	False
O O O O B_date L_date O U_event_name	set a reminder on fifteenth march as meeting	False
O B_event_name I_event_name L_event_name O O U_date O B_time L_time	set generic calendar event for next saturday at ten am	False
O O O O B_date L_date O O O O U_relation	add a reminder to april fourth to go to the dentist	False
O O O O O O O O O O	remind me to move so there is no weight gain	True
O O O O B_time L_time U_event_name O O U_relation	set a reminder for twelve thirty meeting with the boss	False
O O O O U_event_name O O U_date	remind me of my appointment on the fifteenth	False
O O O B_event_name I_event_name I_event_name L_event_name O O U_time O B_time L_time	remind me to pay the electricity bill on this weekend at nine am	False
O O U_event_name O U_person U_date B_time I_time I_time L_time	schedule a meeting with reeta today evening at five pm	False
O O O O U_event_name	open calendar schedule event meeting	False
O O O O O B_event_name L_event_name B_date L_date U_timeofday	can you remind me of sunday gym every saturday evening	False
O O O U_date U_event_name O B_time L_time	remind me about tomorrow meeting at ten am	False
O O O O O U_event_name O O U_relation O O O O B_time L_time O U_date	hi please remind the next meeting with my boss it will be at eleven am next monday	False
O O O O O U_event_name O U_place_name U_date	please remind me for the function at miami tomorrow	False
O O B_time L_time U_event_name O O O B_date L_date	put a seven pm meeting time down for march fourteenth	False
O U_meal_type O U_date O B_place_name L_place_name	remember dinner on thursday at bistro italia	False
O O O O U_date	remind me after a month	False
O O B_time L_time O O O O B_time L_time B_general_frequency L_general_frequency	in the following week repeat this event at ten am every day	False
O O O O O O O O	can you notify the event in my calendar	True
O O B_event_name L_event_name B_time L_time U_timeofday	add event baseball practice five pm tonight	False
O O O O U_time O U_event_name O O O	remind me of my twelve oclock meeting by eleven thirty	False
O O O O B_person L_person	calendar event send invite bill malinda	False
O B_event_name L_event_name O U_date O U_time	add dentist appointment for friday at five	False
O O O O O O O O U_place_name O O U_date	my calendar is to be updated with all rccg event in march	False
O O O U_event_name O B_time L_time	please remind to sleep at nine pm	False
U_event_name O U_relation O U_relation O U_date	church with mom and dad on sunday	False
O O O O O O U_person	can you sync my calendar with mark	False
O O O O O O B_date L_date O O B_time L_time	hey turn on your reminders for tomorrow 's meeting at ten am	False
O O O O O O B_general_frequency L_general_frequency O O O	add a reminder to my calendar every year on this date	False
O O O B_event_name I_event_name L_event_name B_general_frequency I_general_frequency I_general_frequency I_general_frequency L_general_frequency	remind me to water my plants every tuesday thursday and saturday	False
O B_date I_date L_date U_person O O O O O B_event_name I_event_name L_event_name	on twenty third february rahul will come with me on india cricket match	False
O O O O O O O O U_date O U_timeofday O O O O	i have to go to a meting on friday at noon can you remind me	False
O O O O O O O B_general_frequency I_general_frequency I_general_frequency I_general_frequency L_general_frequency	set the event to recur on the first monday of the month	False
O O O O O O O O	alert me at the time of the event	True
O O O U_event_name O B_person L_person O U_date B_time I_time L_time O O O	please add the meeting with ms boland on wednesday eight hundred am to my calendar	False
O O B_event_name L_event_name O B_date L_date	set a neighbor party for next week	False
O O B_event_name I_event_name L_event_name O O O O U_date	please add dinner with mary to my calendar on saturday	False
O O O O O B_date L_date U_event_name O U_person	do n't let me forget tomorrow 's meeting with sheila	False
O O O U_general_frequency O O B_event_name L_event_name	please set a monthly reminder for paying rent	False
O B_event_name L_event_name O U_person O B_date L_date O B_time I_time L_time	add lunch appointment with lisa to january second at twelve thirty pm	False
O O O O O O U_date O B_time L_time O	make a calendar entry for next saturday at ten am please	False
O O O B_event_name I_event_name I_event_name I_event_name I_event_name L_event_name U_timeofday O U_time	remind me to pick up john from the airport tonight at eight	False
O O O O	remind me about calendar	True
O O O O B_event_name L_event_name O O B_time I_time I_time I_time I_time I_time L_time	add to calendar an medical appointment for the first day of the next five months	False
O O O O B_event_name L_event_name O U_place_name O U_date	remind me about my biology test at fsu on friday	False
O O O U_person O U_business_name O U_place_name O B_date L_date O B_time L_time	add meet with dave at subway on weber on four april at five pm	False
O O O O B_time L_time O B_event_name I_event_name L_event_name	set a reminder for fifteen minutes to change laundry loads	False
O O O O O O B_event_name L_event_name B_time I_time L_time	can you remind me about the gym class in two hours	False
O O U_event_name O U_person U_date O B_time L_time	set a meeting with tom tomorrow at seven pm	False
O O O O O O U_date O B_time L_time O O O	can you set a reminder for wednesday at one pm for my meeting	False
O O O O U_person O U_meal_type U_date	remind me to meet joe for lunch tomorrow	False
O O U_event_name O B_time L_time	write down meeting at seven pm	False
B_date L_date O B_person L_person U_event_name O O O O O O O O O	twelveth july is bola 's birthday and my calendar to be updated with this date	False
O O O B_event_name L_event_name O U_person O U_date O B_time L_time	set reminder for tennis game with peter on Sunday at four pm	False
O O O U_date O B_time L_time O O O	please block off friday at eight am on my calendar	False
O U_place_name U_date O O O O O O O O	all rccg march event is to be added to my calendar	False
O B_event_name I_event_name L_event_name O O U_date O B_time I_time L_time	add valia 's wedding the next saturday at eight o clock	False
O O O U_event_name U_date U_timeofday O U_time O O O	i have a meeting tomorrow morning at ten please remind me	False
O O O O O O O O O O U_date	i need you to remind me to go to store tomorrow	False
O O O O U_event_name O	remind me of this meeting soon	False
B_event_name L_event_name U_date O B_time L_time	dentist appointment today at nine am	False
O O U_general_frequency O O U_date O B_time L_time	create a repeating event on mondays at seven pm	False
O O O U_event_name B_time I_time L_time O	remind me of meeting five minutes before time	False
O O O B_event_name I_event_name L_event_name O B_time L_time U_date	remind me to meet with steve at one pm tomorrow	False
O B_event_name L_event_name O U_relation B_date L_date	add new year with family next week	False
O O B_event_name L_event_name O U_person O U_date O U_timeofday	schedule a lunch meeting with brent on Wednesday at noon	False
O O O O U_event_name	call me for this meeting	False
O U_meal_type O U_person O U_person	schedule dinner with sara and jamie	False
O O O	remind me later	True
O O O O O B_event_name I_event_name I_event_name I_event_name I_event_name L_event_name	just set me reminders about pending payment of children school fees	False
O O O O B_date L_date O O B_relation L_relation U_event_name	add a reminder for april twenty as my bro 's birthday	False
O O O O U_date U_event_name O B_person L_person B_time L_time O O O	remind me about my monday meeting with peter francis fifteen minutes before the meeting	False
O O O O O O U_event_name O O B_date L_date	show me the events in my work calendar for next week	False
O U_event_name O U_person O U_person O O O O O O U_date	the meeting with justin and katrina has been changed put it on thursday	False
O O O O O O O	open calendar and make an event reminder	True
O O O O O U_date U_event_name O O U_time	remind me off about my tomorrow meeting sharply at ten	False
O O O O U_place_name O B_date I_date L_date O B_time L_time	please add shopping at mall on twenty six march at twelve pm	False
O U_event_name	repeat birthday	False
O O O O O O O B_time L_time B_general_frequency L_general_frequency B_date L_date	put working out on my calendar for eight am every day this week	False
O O O O	add event to date	True
O U_event_name O U_person	schedule meeting with laura	False
O O O B_date L_date O B_general_frequency L_general_frequency O O B_event_name I_event_name L_event_name	remind me on fifth march of every year to arrange wedding anniversary presents	False
O O O O O U_date O O U_person O O	can you tell me on tuesday to give jane a call	False
O O U_event_name O U_relation	make a meeting with friend	False
O O O O O O O O O	tell me when i need to leave the airport	True
O U_event_name O B_relation L_relation U_date	set meeting with the ceo tomorrow	False
O O O O O O U_general_frequency O O O	set a calendar event to repeat yearly on this date	False
O O O O O B_event_name L_event_name O U_date O B_time L_time	please set a reminder for church services on sundays for eleven am	False
O B_date I_date I_date I_date L_date O B_event_name L_event_name	flag two day after this day as my holiday	False
O O O U_person O U_date B_time L_time	set meeting with joanna on Saturday four pm	False
O O O O O O O O B_event_name I_event_name L_event_name O U_date O B_time I_time L_time	do n't let me forget i have a parent teacher conference this monday at four hundred pm	False
O U_meal_type O O O B_date L_date	alter lunch event to repeat every friday	False
O O O B_place_name I_place_name I_place_name L_place_name U_date U_time	add event book club debbie 's house wednesday night	False
O O O O O U_date B_time L_time O B_event_name I_event_name I_event_name L_event_name	set a reminder alert for saturday nine am towards payment of electricity bill	False
O O O O O O O O O O O	please remind me of all the nba scores in a week	True
O O O O O O O	remind me to take out the trash	True
O O B_date L_date O B_event_name L_event_name O U_place_name	set on second january about soccer match of manchester	False
O O O O O O O O	remind me clock that i have a event	True
O O O O O U_event_name O O U_relation B_time L_time O O O O	can you remind my next meeting with my boss one hour before it will happen	False
O O O O B_date I_date I_date L_date	set a notification for june fifth every year	False
O O U_event_name O O O O O U_date B_time I_time L_time	plan a meeting in office with all employees tomorrow morning at eight	False
O O B_event_name L_event_name O O U_date	set a thanks giving event for friday	False
O O O O U_event_name B_date I_date I_date L_date	remind me about my anniversary in one day advance	False
O B_general_frequency L_general_frequency O O O O O	on every tuesday remind me to go shopping	False
O O O O	set event on recurring	True
O O B_event_name L_event_name O U_date O B_time L_time	schedule a sales meeting for wednesday at eleven am	False
O O O O B_event_name I_event_name L_event_name O O O O O O U_date	please tell me to take my umbrella because it will be very hot today	False
O O O O O O U_date	remind me to go grocery shopping today	False
O O O O B_date L_date O B_event_name L_event_name	set a notification on third march about company meeting	False
O O B_relation L_relation U_event_name O O O O B_date L_date	put my brother 's birthday in my calendar for july fourth	False
O B_person L_person B_event_name L_event_name O B_time I_time I_time I_time I_time I_time I_time I_time L_time U_date O O O	add jane 's birthday party at one hundred and twenty three main for two pm tomorrow on my calendar	False
O O U_event_name O O B_relation L_relation O O O U_date O B_time L_time	schedule my meeting with my girlfriend lisa in the night today at nine pm	False
B_date L_date O B_person L_person U_event_name O O O O O O	march fifth is john 's birthday please place this on the calendar	False
O O O U_date O B_date I_date I_date I_date L_date	take note of today as my first date with bob	False
O O O O O B_event_name L_event_name O B_time L_time	remember to remind me about client meet at four pm	False
O O O U_date O O O	set reminder for tomorrow for this item	False
O O O O O B_event_name I_event_name L_event_name B_time I_time L_time	can you remind me to check my clothes in a hour	False
O O O O O O O O O O O B_date L_date O O O O O O O	give me the list of all events coming up in the next month and set notifications for all of them	False
B_date L_date O O O O B_event_name L_event_name O O O	thirteenth june is a day of election result please set it	False
O O B_event_name L_event_name O O O O U_date O B_time L_time	add my spin class to the calendar for Saturday at seven am	False
O O O O O O	please set this date to repeat	True
O O O O O U_date	make a repeating reminder for tomorrow	False
U_date O B_time L_time O O O B_event_name L_event_name O O O O O O	thursday at three pm there is a teachers meeting i need to be reminded of	False
O O O O B_event_name I_event_name L_event_name U_date O B_time L_time	remind me to have launch with boss today at one pm	False
O O O B_event_name I_event_name I_event_name I_event_name I_event_name I_event_name L_event_name O B_time I_time I_time I_time I_time L_time	remind me to take the casserole out of the oven at seven hundred and forty five pm	False
O O O O O O O U_event_name U_date U_time O O U_timeofday	please remind me that i have a meeting tomorrow ten in the morning	False
O O O B_date L_date O B_person L_person U_event_name O B_general_frequency L_general_frequency	add to calendar may two is mary 's birthday repeat every year	False
O U_person	call sarah	False
O O O O U_event_name U_date B_time L_time	send me notice of meeting wednesday nine am	False
O O O O U_place_name	the location is my office	False
O B_date I_date L_date O U_event_name O U_time	on january twenty five set meeting for twelve	False
O O O O O O O O O	please put me your input to know my schedule	True
O O O U_business_name	order me some chipotle	False
O O O O O O O O U_food_type O U_business_name	could you please help me to order some sushi from deliveroo	False
O U_food_type O	order chinese food	False
O O U_food_type O O O	show me chinese food near me	False
O O	ordering food	True
O O U_business_type O O O O B_food_type L_food_type	checkout top restaurant near me and order shahi panner	False
O O O B_food_type L_food_type O U_business_name	find and order handi paneer in pavitra	False
O O	order food	True
O O B_food_type I_food_type I_food_type L_food_type O U_business_name	order a ham and cheese sandwich from subway	False
O O O O U_food_type U_order_type O O	can you look up chinese takeout near here	False
O O O U_food_type	any low priced delicacies	False
O O O B_food_type I_food_type L_food_type O O B_business_name L_business_name	how much does general tsos chicken cost at peking garden	False
O O U_food_type O B_business_name L_business_name	order one pizza from pizza hut	False
O O O U_food_type O O O O O O B_food_type L_food_type	how about some pizza tonight can you please order a pepperoni large	False
